id,id_clustering,name,description,n_documents,reduced_to_id_cluster,reduced_to_id_clustering
1,1,,"loď, plavec, plachta, přístav, koráb, člun, příď, paluba, stožár, stěžeň",1286,191,2
2,1,,"klas, klasa, stodola, žito, lán, koukol, zrno, chrpa, žeň, obilí",1265,195,2
3,1,,"kritik, kritika, psát, verš, autor, báseň, napsat, redaktor, čtenář, poeta",1216,179,2
4,1,,"jmeniny, vděčnost, novoroční, toba, blahopřání, požehnání, vděčný, blaženost, péče, přání",1159,194,2
5,1,,"podzimní, podzim, jeseň, vzpomínka, smutek, teskný, chlad, stesk, zapadlý, večer",1151,180,2
6,1,,"vánek, květný, snivý, kvítko, slast, ladný, něžný, slavík, vání, ňadro",1126,183,2
7,1,,"viditelný, mystický, magický, tisíciletí, vegetace, tajemství, tajemný, záření, jiskření, procitnutí",1102,170,2
8,1,,"slzička, srdéčko, děvčátko, hubička, růžička, panenka, srdíčko, hvězdička, sluníčko, měsíček",1065,169,2
9,1,,"polibek, políbení, touha, vzpomínka, smavý, snivý, růže, snění, štěstí, opojný",1036,176,2
10,1,,"růže, odkvést, poupě, růž, květ, opadat, kvést, odkvétat, uvadnout, kvítek",959,196,2
11,1,,"lkání, ston, ozvěna, kvílet, žalný, šum, lkát, táhlý, zvuk, sten",950,181,2
12,1,,"kyprý, linduška, boučí, vřes, luh, drozd, pyl, zpěvný, buk, horský",911,174,2
13,1,,"továrna, elektrický, pracující, dělník, zotročovat, kulomet, třída, třídní, proletář, civilizace",904,188,2
14,1,,"zev, kentaur, erebos, hélios, změť, titan, prométheus, olymp, cedr, eumenida",865,186,2
15,1,,"hmota, vesmír, bytí, věčno, prostor, kosmos, kosmický, soustava, atom, tvůrčí",862,184,2
16,1,,"poslanec, volič, mandát, parlament, politika, schůze, ministerstvo, ministr, politický, vídeň",843,189,2
17,1,,"prospět, bližní, ctnost, rozmnožit, rozum, ctnostný, zasluhovat, zastávat, chvála, šlechetný",841,197,2
18,1,,"slovanstvo, národ, prapor, dějiny, volnost, lidství, vítězný, heslo, bratrský, útisk",784,172,2
19,1,,"zpěvec, dalekost, jinoch, harfa, toužebnost, zavívat, provívat, vykvítat, oudolí, samotnost",780,173,2
20,1,,"pivo, sklenka, šenkýř, sud, hospoda, pít, nalít, víno, pití, sládek",771,171,2
21,1,,"mech, olše, bříza, sítí, kapradí, vřes, buk, ostružina, motýl, mlází",735,192,2
22,1,,"petrklíč, fialka, sněženka, jehněda, vesna, sasanka, poupě, jaro, sedmikrása, jarní",732,174,2
23,1,,"beznaděj, zapomnění, duma, eden, odříkání, tucha, snění, žití, resignace, skráň",723,176,2
24,1,,"mystický, stigma, archanděl, oltářní, zaslíbení, liliový, kalvárie, monstrance, golgota, žhoucí",720,187,2
25,1,,"věrec, nevěrec, katolík, národovec, štváč, bližní, kazit, odrodilec, liberál, církev",704,182,2
26,1,,"žhnoucí, příslib, pocel, žhnout, vášnivý, propastný, tichnoucí, opojný, nezmarný, ohnivý",700,170,2
27,1,,"podzimní, podzim, jeseň, listí, chlad, mlha, lada, večer, stmívat, teskný",695,198,2
28,1,,"huba, koukat, nos, notný, kuchařka, zastávat, kapsa, dělat, povídat, přísloví",693,177,2
29,1,,"teskný, snivý, duma, nápěv, tón, struna, zádumčivý, stesk, píseň, zapomněný",659,181,2
30,1,,"zikmund, michna, zúpět, kat, hanuš, nájezdník, legát, zikmundův, zlítit, sběř",623,172,2
31,1,,"parodovat, gesto, ironický, pathos, frivolní, cynismus, zhnusit, banální, ješitný, cynický",621,175,2
32,1,,"dante, úkoj, poezie, azur, hvězdný, edenský, taj, souzvuk, zářný, plát",591,185,2
33,1,,"barabáš, ukřižovat, kristus, pilát, golgota, ježíš, kalvárie, kříž, hřeb, ježíšův",590,187,2
34,1,,"tyran, násilník, mučitel, podlý, kasta, slina, lidskost, hladový, krutost, zločin",589,175,2
35,1,,"husův, kostnický, hus, mučedník, husitský, sion, národ, fénix, tmář, kristův",573,172,2
36,1,,"herec, jeviště, publikum, kulisa, komedie, autor, potlesk, divadlo, obecenstvo, scéna",559,175,2
37,1,,"nymfa, faun, syrinx, satyr, hélios, čilimník, kentaur, flétna, ceres, fauna",540,185,2
38,1,,"žlutý, vlhký, podzimní, listí, jednotvárný, mlha, kaštan, vlhko, moucha, soumrak",524,178,2
