,author_order,person_id,book_id
1,1,525,1181
2,1,573,1195
3,1,338,506
4,1,528,1618
5,1,203,260
6,1,162,274
7,1,341,512
8,1,154,1624
9,1,79,1142
10,1,80,1156
11,1,187,248
12,1,256,1630
13,1,294,1383
14,1,577,923
15,1,584,937
16,1,311,1397
17,1,120,89
18,1,95,62
19,1,420,704
20,1,420,710
21,1,118,76
22,1,294,1368
23,1,126,1340
24,1,326,1426
25,1,12,738
26,2,74,738
27,3,89,738
28,4,149,738
29,5,168,738
30,6,182,738
31,7,183,738
32,8,198,738
33,9,214,738
34,10,215,738
35,11,218,738
36,12,95,738
37,13,252,738
38,14,281,738
39,15,296,738
40,16,298,738
41,17,304,738
42,18,336,738
43,19,484,738
44,20,506,738
45,21,607,738
46,22,542,738
47,23,553,738
48,24,533,738
49,25,615,738
50,26,623,738
51,27,656,738
52,28,659,738
53,29,679,738
54,30,716,738
55,1,359,1432
56,1,684,1354
57,1,494,857
58,1,112,1591
59,1,490,843
60,1,72,1585
61,1,431,1208
62,1,130,116
63,1,408,670
64,1,408,664
65,1,128,102
66,1,136,1234
67,1,557,894
68,1,204,1552
69,1,404,658
70,1,558,880
71,1,63,1546
72,1,385,1220
73,1,336,499
74,1,325,472
75,1,251,314
76,1,235,300
77,1,323,466
78,1,253,328
79,1,686,1036
80,1,686,1022
81,1,686,1023
82,1,686,1037
83,1,254,329
84,1,235,301
85,1,323,467
86,1,325,473
87,1,252,315
88,1,336,498
89,1,63,1547
90,1,557,881
91,1,404,659
92,1,385,1221
93,1,136,1235
94,1,407,1553
95,1,557,895
96,1,408,665
97,1,128,103
98,1,130,117
99,1,431,1209
100,1,408,671
101,1,72,1584
102,1,490,842
103,1,112,1590
104,1,494,856
105,1,708,1433
106,1,352,1355
107,1,126,1341
108,1,1,739
109,2,34,739
110,3,79,739
111,4,81,739
112,5,86,739
113,6,93,739
114,7,105,739
115,8,129,739
116,9,140,739
117,10,151,739
118,11,185,739
119,12,206,739
120,13,241,739
121,14,300,739
122,15,306,739
123,16,313,739
124,17,348,739
125,18,372,739
126,19,377,739
127,20,397,739
128,21,413,739
129,22,416,739
130,23,474,739
131,24,480,739
132,25,492,739
133,26,531,739
134,27,557,739
135,28,544,739
136,29,569,739
137,30,573,739
138,31,629,739
139,32,638,739
140,33,641,739
141,34,655,739
142,35,668,739
143,36,683,739
144,37,699,739
145,38,706,739
146,39,719,739
147,40,714,739
148,1,359,1427
149,1,420,711
150,1,294,1369
151,1,118,77
152,1,95,63
153,1,420,705
154,1,584,936
155,1,120,88
156,1,508,1396
157,1,294,1382
158,1,577,922
159,1,187,249
160,1,80,1157
161,1,188,1631
162,1,176,1625
163,1,79,1143
164,1,162,275
165,1,341,513
166,1,528,1619
167,1,340,507
168,1,203,261
169,1,573,1194
170,1,504,1180
171,1,232,288
172,1,581,1196
173,1,538,1182
174,1,341,511
175,1,91,1169
176,1,162,277
177,1,203,263
178,1,336,505
179,1,487,1633
180,1,80,1155
181,1,79,1141
182,1,341,539
183,1,176,1627
184,1,577,908
185,1,508,1394
186,1,582,934
187,1,577,920
188,1,294,1380
189,1,118,75
190,1,420,713
191,1,27,1419
192,2,24,1419
193,3,177,1419
194,4,243,1419
195,5,341,1419
196,6,359,1419
197,7,407,1419
198,8,622,1419
199,9,723,1419
200,1,420,707
201,1,94,61
202,1,60,49
203,1,352,1357
204,1,359,1431
205,1,326,1425
206,1,56,1343
207,1,516,868
208,1,490,840
209,1,16,1586
210,1,419,698
211,1,494,854
212,1,112,1592
213,1,128,101
214,1,408,667
215,1,477,1579
216,1,408,673
217,1,130,115
218,1,385,1223
219,1,557,883
220,1,63,1545
221,1,577,897
222,1,204,1551
