id,firstname,surname,date_of_birth,date_of_death,place_of_birth,place_of_death,place_of_birth_original_name,place_of_death_original_name,remark,sex,pseudonym_for_id
7,Ladislav,Andělíček,,,,,,,Viz ř. 362,M,361
8,,Anna S.,,,,,,,Viz ř. 531,M,530
9,E.,Antonowicz,,,,,,,Viz ř. 23,M,22
12,Ladislav,Arietto,,,,,,,Viz ř. 14,M,13
27,V. Ch.,Banjom,,,,,,,viz ř. 21,M,20
43,Prokop,Bodlák,,,,,,,Viz ř. 497,M,496
51,František Adolf,Borovský,,,,,,,Viz ř. 53,M,52
62,M.,Brodský,,,,,,,Viz ř. 143,M,142
65,A. K.,Buk,,,,,,,Viz ř. 319,M,318
74,Jan,Calvi,,,,,,,,M,747
84,Emanuel,Čenkova,,,,,,,Viz ř. 86,M,85
88,Vojtěch,Černý,,,,,,,Viz ř. 558,M,557
106,Arnošt V. J.,Crha,,,,,,,Viz ř. 108,M,107
111,,Danko,,,,,,,Viz ř. 298,M,297
113,,Dobrota Smíchorád,,,,,,,Viz ř. 181,M,180
119,Beneš,Doubravský,,,,,,,Viz ř. 245,M,244
121,,Dr. Efkem Ot,,,,,,,Viz ř. 628,M,627
139,Č.,Folklor,,,,,,,Viz ř. 358,M,357
156,Otto,Gulon,,,,,,,Viz ř. 623,M,622
163,Vítězslav J.,Hálek,,,,,,,Viz ř. 163,M,162
164,Otakar,Halina,,,,,,,Viz ř. 400,M,399
173,Matěj Pěvoslav,Havelka,,,,,,,Viz ř. 173,M,172
211,Ludmila,Hrádku,,,,,,,Viz ř. 419,M,418
242,,Johanna Marie,,,,,,,Viz ř. 607,M,606
245,Jan Petr,Jordan,,,,,,,Viz ř. 274,M,273
246,Josef,Josefovič,,,,,,,Viz ř. 126,M,125
254,František Jaroslav,Kamenický,,,,,,,Viz ř. 649,M,648
259,Jiří,Karásek,,,,,,,Viz ř. 261,M,260
265,Leo,Karmi,,,,,,,Viz ř. 268,M,267
315,Zdeněk,Krušina,,,,,,,Viz ř. 342,M,341
316,,K. S.,,,,,,,Viz ř. 525,M,524
324,František Věnceslav,Kvapil,,,,,,,Viz ř. 324,M,323
329,Bruno,Sauer,,,,,,,Viz ř. 329; vl. jm. = František Sauer!! ,M,328
339,Karel,Lenský,,,,,,,Viz ř. 337,M,336
340,A. K.,Lešan,,,,,,,Viz ř. 275,M,274
368,Ferdinand,Marenko,,,,,,,Viz ř. 373,M,372
389,A. P.,Mělnický,,,,,,,,M,748
392,Xaver,Menhard Litoměřický,,,,,,,Viz ř. 392,M,391
395,Heřman,Městecký,,,,,,,Viz ř. 472,M,471
396,J. E.,Miletinský,,,,,,,Viz ř. 135,M,134
400,Jiřík Luděk,Moravský,,,,,,,Viz ř. 320,M,319
422,Augusta Vojtěch,Nevšímal,,,,,,,Viz ř. 422,M,421
426,Lila B.,Nováková,,,,,,,,F,749
427,Lila,Nováková,,,,,,,,F,749
453,Eliška,Pechová-Krásnohorská,,,,,,,Viz ř. 309,F,308
458,Břetislav,Perný,,,,,,,Viz ř. 472,M,471
460,Ranko,Petar,,,,,,,Viz 5. 472,M,471
466,,Podbělovský,,,,,,,Viz ř. 583,M,582
470,Josef Václav,Pokorný-Pikulík,,,,,,,Viz ř. 470,M,469
487,Jan,Psohlavý,,,,,,,Viz ř. 16,M,15
504,Řehoř,Řiřavec,,,,,,,Viz ř. 245,M,244
508,Jan,Rokyta,,,,,,,Viz ř. 510,M,509
555,Karel,Skřivan,,,,,,,Viz ř. 118,M,118
556,Josef,Sládek,,,,,,,Viz ř.558,M,557
558,K. V.,Slanský,,,,,,,Viz ř. 665,M,664
562,,Smil,,,,,,,Viz ř. 440; Vl.jm. = Jan Palacký; in DČLO,M,439
565,Světimír,Smutenský,,,,,,,Viz ř. 523,M,522
576,Viktor,Souček,,,,,,,Viz ř. 131,M,130
583,,Starý Švejda,,,,,,,Viz ř. 225,M,224
589,,St.,,,,,,,Viz ř. 143,M,142
591,J. Boleslav,Strahovský,,,,,,,Viz ř. 591,M,590
592,Miloslav,Straka,,,,,,,Viz ř. 572,M,571
593,V. Č.,Stránický,,,,,,,Viz ř. 29,M,28
623,Jaroslav,Tichý,,,,,,,Viz ř. 523,M,522
632,Antonín,Trnavský,,,,,,,Viz ř. 645,M,644
633,Emil,Trnka,,,,,,,Viz ř. 726,M,725
639,Vítězoslav,Tůma,,,,,,,Viz ř. 639,M,638
656,V. A.,Velen,,,,,,,Viz ř. 249,M,248
665,Aurel,Vlach,,,,,,,Viz ř. 172,M,171
668,August,Vlašímský,,,,,,,Viz ř. 422,M,421
676,E.,Volný,,,,,,,Viz ř. 108,M,107
683,Jan,Vraný,,,,,,,Viz ř. 80,M,79
688,Jan,Vřesnický,,,,,,,Viz ř. 688,M,687
699,Vojmír J.,Wünsch,,,,,,,Viz ř. 699,M,698
700,Jiří,Zachar,,,,,,,Viz ř. 342,M,341
705,František,Žárovský,,,,,,,Viz ř. 537,M,536
709,Emanuel,z Čenkova,,,,,,,Viz ř. 86,M,85
710,František,Zdobnický,,,,,,,Viz ř. 162,M,161
716,Jan,Žeranovský,,,,,,,Viz ř. 579,M,578
719,V.,Zikmund,,,,,,,Viz ř. 696,M,695
727,Jaromír,Březanovský,,,,,,,,M,59
728,Marie,Čacká,,,,,,,,F,71
729,Jan,Bušil,,,,,,,,M,70
730,R. E.,Jamot,,,,,,,,M,226
731,Josef,Jasanovič,,,,,,,,M,229
732,V.,Lánský,,,,,,,,M,333
733,Josef,Leda,,,,,,,,M,334
734,Ferdinand P.,Místecký,,,,,,,,M,398
735,,Otomar V.,,,,,,,,M,435
736,Josef Jiří,Polabský,,,,,,,,M,473
737,Jaroslav Sv.,Rypáček,,,,,,,,M,522
738,Anna,Sázavská,,,,,,,,F,530
739,Miloslav,Sojka,,,,,,,,M,571
740,Rudolf,Strupavský,,,,,,,,M,596
741,Antonín,Sychrovský,,,,,,,,M,611
742,Bolemír,Vltavský,,,,,,,,M,672
743,Prokop,Zaletěl,,,,,,,,M,703
744,,Žofie,,,,,,,,M,724
745,Ladislav,Zvaljevský,,,,,,,,M,726
746,J. V.,Krátoš,,,,,,,,M,309
