id,firstname,surname,date_of_birth,date_of_death,place_of_birth,place_of_death,place_of_birth_original_name,place_of_death_original_name,remark,sex,pseudonym_for_id
1,Bohumil,Adámek,1848-11-08,1915-10-28,Hlinsko (u Chrudimi),Hlinsko (u Chrudimi),,,,M,
2,Josef,Adámek,,,,,,,,M,
3,Eduard,Albert,1841-01-20,1900-09-26,Žamberk,Žamberk,,,,M,
4,,Alexis,1748-11-15,1822-04-15,Praha,Praha,,,Vl.jm. = Aleš Vincenc Pařízek; možné datum narození: 10.11.1748; in DČLO,M,
5,,Alfonsa Maria,1886-06-23,1960-04-10,Štěpánov,Brno,,,Vl.jm. = Marie Špačková; in DČLO,M,
6,Vilém,Ambrož,1846-12-28,1903-02-14,Brno,Brno,,,,M,
10,Jakub,Arbes,1840-06-12,1914-04-08,Praha,Praha,,,,M,
11,J.,Aren,,,,,,,,M,
13,Ladislav,Šebek,1861-09-18,1927-12-19,Písek,Praha,,,,M,
14,Otakar,Auředníček,1868-09-27,1947-06-01,Rataje nad Sázavou,Praha,Hrazené Rataje,,,M,
15,Jindřich Šimon,Baar,1869-02-07,1925-10-24,Klenčí pod Čerchovem,Klenčí pod Čerchovem,,,,M,
16,Marie,Baarová,,,,,,,,F,
17,Karel,Babánek,1872-07-15,1937-05-19,Březové Hory (u Příbrami),Praha,,,,M,
18,Alexandr,Balcárek,1840-02-21,1862-05-01,Šumvald (u Uničova),Praha,,,Viz Aleš Balcárek in Lexikon,M,
19,Bořivoj,Balcárek,,,,,,,,M,
20,Václav,Chaloupecký,1882-05-12,1951-11-22,Dětěnice (u Jičína),Dětěnice (u Jičína),,,,M,
21,Josef,Barák,1833-01-25,1883-11-15,Praha,Praha,,,,M,
22,Josef,Baše,1850-03-31,1899-01-10,Jílovice u Dobrušky,Hradec Králové,,,,M,
23,J.XX,Bašus,,,,,,,"Jedná se o Bašus, Jaroslav in DČLO? (09.02.1890 Vyšehořovice)",M,
24,J.,Baudiš,1883-08-27,1933-05-04,Praha,Bratislava,,,In DČLO,M,
25,P.XX V.XX,Bělohlávek,1870-01-09,1967-05-01,Úhrov (u Golčova Jeníkova),Senohraby,Ouhrov (u Golčova Jeníkova),,V. = Václav,M,
